TSA Study,Start
T001,149
T002,124
T003,109
T004,121
T005,127
T006,108
T007,113
T008,156
T009,130
T010,183
T011,111
T012,95
T013,126
T014,140
T015,145
T016,98
T017,166
T018,138
T019,112
T020,183
T021,149
T022,138
T023,155
T024,118
T025,182
T026,150
T027,131
T028,142
T029,154
T030,145
T031,139
T032,124
T033,131
T034,110
T035,118
T036,127
T037,202
T038,111
T039,150
T040,179
T041,135
T042,205
T043,168
T044,193
T045,139
T046,98
T047,166
T048,111
T049,157
T050,111
T051,120
T052,154
T053,149
T054,133
T055,114
T056,131
T057,150
T058,195
T059,196
T060,181
T061,197
T062,162
T063,168
T064,143
T065,157
T066,166
T067,102
T068,134
T069,159
T070,178
T071,139
T072,128
T073,131
T074,119
T075,144
T076,158
T077,120
T078,173
T079,135
T080,157
T081,129
T082,221
T083,117
T084,126
T085,128
T086,116
T087,172
T088,113
T089,141
T090,215
T091,167
T092,187
T093,137
T094,139
T095,103
T096,124
T097,147
T098,107
T099,158
T100,136
T101,148
T102,163
T103,139
T104,132
T105,136
T106,116
T107,128
T108,107
T109,177
T110,105
T111,161
T112,140
T113,164
T114,135
T115,105
T116,140
T117,129
T118,126
T119,138
T120,120
T121,153
T122,178
T123,130
T124,116
T125,111
T126,185
T127,171
T128,146
T129,171
T130,106
T131,148
T132,120
T133,115
T134,109
T135,180
T136,142
T137,153
T138,117
T139,117
T140,123
T141,128
T142,108
T143,128
T144,118
T145,145
T146,125
T148,129
T149,117
T150,139
T151,169
T152,122
T153,123
T154,154
T155,145
T156,150
T157,129
T158,110
T159,146
T160,145
T161,112
T162,133
T163,249
T164,104
T165,121
T166,124
T167,149
T168,115
T169,114
T170,122
T171,104
T172,118
T173,178